Week,Date,Niche,Title,Slug,Status,Substack URL,Medium URL,YouTube URL,Shorts Count,Social Scheduled,Buffer Slot,Notes
2026-W27,2026-07-01,Life,2026-07-01_life_self_dev_i-tracked-90-days-of-productive-mornings-data-show-real-trig,2026-07-01_life_self_dev_i-tracked-90-days-of-productive-mornings-data-show-real-trig,Draft,,,,0,Manual,Live,
2026-W28,2026-07-06,DS,2026-07-06_data_science_tech_the-local-ai-agent-i-built-in-a-weekend-now-does-the-grunt-w,2026-07-06_data_science_tech_the-local-ai-agent-i-built-in-a-weekend-now-does-the-grunt-w,Draft,,,,0,Manual,Live,
2026-W28,2026-07-06,Life,2026-07-06_life_self_dev_your-overloaded-self-improvement-schedule-is-slowly-making-y,2026-07-06_life_self_dev_your-overloaded-self-improvement-schedule-is-slowly-making-y,Draft,,,,0,Manual,Live,
2026-W28,2026-07-10,DS,2026-07-10_data_science_tech_i-asked-5-senior-engineers-to-explain-a-vector-database-with,2026-07-10_data_science_tech_i-asked-5-senior-engineers-to-explain-a-vector-database-with,Draft,,,,0,Manual,Live,
2026-W28,2026-07-10,Life,2026-07-10_life_self_dev_high-emotional-intelligence-at-work-isnt-about-being-nice-it,2026-07-10_life_self_dev_high-emotional-intelligence-at-work-isnt-about-being-nice-it,Draft,,,,0,Manual,Live,
2026-W29,2026-07-14,DS,2026-07-14_data_science_tech_i-built-a-production-grade-mlops-pipeline-in-one-weekend-wit,2026-07-14_data_science_tech_i-built-a-production-grade-mlops-pipeline-in-one-weekend-wit,Draft,,,,0,Manual,Live,
2026-W29,2026-07-14,Life,2026-07-14_life_self_dev_how-to-make-better-decisions-under-pressure-without-ever-tru,2026-07-14_life_self_dev_how-to-make-better-decisions-under-pressure-without-ever-tru,Draft,,,,0,Manual,Live,
2026-W29,2026-07-16,DS,2026-07-16_data_science_tech_building-a-mastodon-automation-bot-using-python-and-streamli,2026-07-16_data_science_tech_building-a-mastodon-automation-bot-using-python-and-streamli,Draft,,,,0,Manual,Live,
2026-W29,2026-07-16,Life,2026-07-16_life_self_dev_dear-16-year-old-tarun,2026-07-16_life_self_dev_dear-16-year-old-tarun,Draft,,,,0,Manual,Live,
2026-W29,2026-07-16,Life,2026-07-16_life_self_dev_what-leaving-home-at-eighteen-actually-cost-me-ten-years-lat,2026-07-16_life_self_dev_what-leaving-home-at-eighteen-actually-cost-me-ten-years-lat,Draft,,,,0,Manual,Live,
2026-W29,2026-07-17,Life,2026-07-17_life_self_dev_understanding-who-truly-cares-a-guide-to-valuing-real-connec,2026-07-17_life_self_dev_understanding-who-truly-cares-a-guide-to-valuing-real-connec,Draft,,,,0,Manual,Live,
2026-W30,2026-07-21,Life,2026-07-21_life_self_dev_pushkar-musician-reel,2026-07-21_life_self_dev_pushkar-musician-reel,Draft,,,,0,Manual,Live,
2026-W30,2026-07-23,Poetry,2026-07-23_poetry_quotes_pushkar-fish-poem,2026-07-23_poetry_quotes_pushkar-fish-poem,Draft,,,,0,Manual,Live,
2026-W30,2026-07-25,Life,2026-07-25_life_self_dev_pushkar-photo-carousel,2026-07-25_life_self_dev_pushkar-photo-carousel,Draft,,,,0,Manual,Live,
