niche,scene_id,component_name,duration_sec,output_file,script,startSec
life,scene-18,AtmosphericQuote,5,life_scene-18_AtmosphericQuote.mp4,What gets measured gets noticed,539.44
life,scene-19,HandwrittenReveal,7,life_scene-19_HandwrittenReveal.mp4,Start with one. The one that stings a little when you read it,569.41
poetry,scene-01,LineReveal,7,poetry_scene-01_LineReveal.mp4,I worked with things you can measure. Data. Models. Dashboards.,47.89
poetry,scene-02,AtmosphericQuote,6,poetry_scene-02_AtmosphericQuote.mp4,a poem finds the exact nerve no dataset ever mapped,95.78
poetry,scene-03,AtmosphericQuote,7,poetry_scene-03_AtmosphericQuote.mp4,The lyric form is the one that admits what human experience refuses to sort,73.4
poetry,scene-04,DataVizReveal,6,poetry_scene-04_DataVizReveal.mp4,One used numbers. The other used metaphor. Tools different. Curiosity identical.,143.67
poetry,scene-05,LineReveal,7,poetry_scene-05_LineReveal.mp4,The best commit messages have grief in them sometimes.,142.12
poetry,scene-06,ImageTextReveal,6,poetry_scene-06_ImageTextReveal.mp4,Poetry was already in the server room.,149.16
poetry,scene-07,CounterReveal,4,poetry_scene-07_CounterReveal.mp4,You've done this a hundred times.,191.56
poetry,scene-08,HandwrittenReveal,7,poetry_scene-08_HandwrittenReveal.mp4,The grey of a commute counts. The brown of bad coffee counts.,188.42
poetry,scene-09,AtmosphericQuote,6,poetry_scene-09_AtmosphericQuote.mp4,grief insists on specificity,248.96
poetry,scene-10,LineReveal,7,poetry_scene-10_LineReveal.mp4,You miss how they said your name. The exact pitch of their laugh.,257.36
poetry,scene-11,VoiceMemoryDissolve,7,poetry_scene-11_VoiceMemoryDissolve.mp4,You miss how they said your name. The exact pitch of their laugh.,257.36
poetry,scene-12,DataVizReveal,6,poetry_scene-12_DataVizReveal.mp4,Facts tell you what happened. Poetry tells you what stayed behind.,270.44
poetry,scene-13,CounterReveal,4,poetry_scene-13_CounterReveal.mp4,a lyric you've heard forty times that suddenly means something different,239.45
poetry,scene-14,ImageTextReveal,6,poetry_scene-14_ImageTextReveal.mp4,It dips its fingers in every colour because it's patient.,287.34
poetry,scene-15,WordReveal,5,poetry_scene-15_WordReveal.mp4,A crack is enough.,336.12
poetry,scene-16,AtmosphericQuote,6,poetry_scene-16_AtmosphericQuote.mp4,That is not a small thing. It is the whole thing.,335.23
